row,name,brand,pattern
33690,VAN MA Oats Made Extraordinary MOMA Harvested GROW,Mima,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
34256,HAM WITH Slice Twinpack CK A Touch O By Date 4:18,Carroll'S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
34289,500 383 38.0 30.1 310.0 Supervalu DARK Chocolate R,Supervalu,^\d+ \d+ \d+
36085,"71 GB IE Wafer Thin, Dry Cured, Cooked, Smoked Ham",Birchwood,^[0-9]+ [A-Z]{2}
36257,OLD GOLD DARK Chocolate,Cadbury,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
37211,555 TUNA Afritada,555,^[0-9]+ [A-Z]{2}
37581,"112 MINI CONE Neutral Sesame 3"" X 1""",,^[0-9]+ [A-Z]{2}
37650,MADE WITH Irish OATS I'm New Premium Wholegra,Kavanagh’S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
38158,LOW FAT Smooth Cottage Cheese Plain,Lancewood,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
40861,ESS FAT Snaktastic Reduced FA Cheese Gonion GP,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
41439,4062139008803,7 Up,"^[0-9]{8,}$"
41511,SE BA RUG Rocke Racer Pickled ONIO Flavour,Snackrite,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
43014,TRUE ICED Espresso,Bold,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
43166,ISO WHEY ZERO,Biotechusa,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
43180,PURE WHEY Strawberry Flavoured,Biotechusa,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
43517,RES MODE Maynards Bassetts D/ Naturre Colours Wine,Maynards,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
44259,KELL LCM Unicorn 100gm,Lcms,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
44337,ISO GOLD WHEY Protein Isolate,Cien,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
44632,NES KIT KAT BLK MLK CHOC 160gm,Nestlé,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
44696,OREO CKIE PAS M/mallow131gm,Oreo,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
45179,DARK CHOC And Coconut,Carman'S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
45268,PERI PERI Diced Chicken Breast,Mt Barker Free Range Chicken,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
45592,BLUE RASP Musashi Energy,Musashi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
46884,SEA SALT CORN Cakes,Savour Bakes,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
47008,PEEL UZVA Birchwood⚫ Corned BEEF 5 Slices NO Added,Birchwood,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
47648,"120 BOAT Neutral 4""x1.5""",,^[0-9]+ [A-Z]{2}
47755,"56 PUFF Pastry MINI HORN 1"" X 2""",,^[0-9]+ [A-Z]{2}
56738,PURE DARK Cocoa Uganda Chocolate Melts,Beyond Good,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
57031,ELLY LY Loves Sushi No Colour NO- MSG No GMO MADE,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
57157,PM ZOTT Burger 12 Slices,Zott,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
57275,LEAN BEEF Burgers,Butchers Selection,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
58267,POPZ WITH Butter,Popz,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
58493,ALOE VERA Premium Drink,Dooz,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
58591,BEAN SALT Snack,Zweifel Vaya,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
59189,EURO CAKE Custard,Euro,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
59567,CAMP REAL Stock BEEF,Campbells,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
60623,PINK LADY Apples,Sainsbury's,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
61208,PACK BIG Value 3 PACK HOME COOK Wonderbar Milk Cho,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
61540,MEGA BBQ Marshmallow,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
61616,THE LADY BAR,The Lady Shake,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
62263,BOLD BEAN CO RED Beans,Bold Bean Co,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
62639,BLUE LAB WHEY,Usn,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
62730,LOW CARB Protein BAR Cookies & Cream,Bsc,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
62731,LOW CARB Protein BAR Choc Mint,Bsc,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
62749,LOW CARB Indulgence Choc Mint,Nõshu,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
64017,310 PB Powder,,^[0-9]+ [A-Z]{2}
64847,AMUL PURE GHEE,Amul,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
64864,TUNA WITH Oven-dried Tomato & Basil,John West,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
64912,BOLD BREW ICED Latte,Rokeby,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
65493,2 SEA BASS Fillets,By Amazon,^[0-9]+ [A-Z]{2}
65858,LOW CARB HIGH Protein Choc Fudge Brownie BARS,Mayver'S,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
65999,8906002006601,Dr. Oetker,"^[0-9]{8,}$"
66051,CAD CHOC Eclairs 160gm,,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
66460,ALDI GUT BIO Quinoa Pops 200g 2.59€ Packung 1kg 12.95€,Aldi,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
66471,"ALDI FAIR Rohrzucker, Fairtrade Fein Dauertiefpreis 1.49€ 500-g-packung 1kg 2.98",Fair,"^[A-Z]{2,4} [A-Z]{2,4} [A-Z]"
