row,name,brand,reason
27996,Hot & Spicy Potato Chips,Calbee,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
27997,Kara Mucho Corn Snacks Hot Chili,Koikeya,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28008,Sushi Ginger,Wagaya,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28015,Diet Coke,Coke,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28099,Snack A Jacks Sweet Chili Flavour Crispsy Rice And,Snack A Jacks,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28103,Rio Light,Rio,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28110,Trident Strawberry,Trident,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28334,Energy Original,Boost,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28489,Super Valu Ginger Ale,Supervalu,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28534,Benna Light Vanilla Fruit Yoghurt,Benna,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28559,Orange,Club,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28594,250m Energy 3 Fanta Pineapple & Grapefruit A Chanc,Fanta,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
28645,Fanta No Sugar,Fanta,US-style ingredient labeling: CONTAINS.*PHENYLALANINE
